VolumeObservationID,PhysicalEventID,Volume,MeasureMethod,FlumeMethod,source_row_count,_confirmed_zero,ObservationDate,_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,FF,Composite,IrrMethod,Notes,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,PlantCalendarYear,ResidueAssignmentEligible,ResidueMeasurementDate,ResidueModelDate,ResidueModelDateSource,Residue_STIR_toMeasurement,Residue_STIR_LeftCensored,Residue_STIR_StartDate,Residue_STIR_BoundaryDayCarryover,ResidueYear,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,EventDate,y_logV,RepScope,FurrowTireCompaction,AnchorDate,AnchorOperation,Timing,DateStatus,ProvenanceNote,CompactionExposureSource,event_weight,Volume_model_pred,Volume_model_pi_low,Volume_model_pi_high,q_conformal_logV,mode,unit_of_analysis
VO_2298d33c07ffe58b4508,PE_8372856d847ab29e3d55,11576.43,Transducer,Weir,14.0,False,2011-06-30,0,2011-06-30,2011,1,1,CT,OUT,False,AC,Siphon,"OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",0.01,,55761.14,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0.75,0,0.01,0.75,-0.2704658744587053,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,2011-06-30,9.356812792126307,,0,,,,,,unlisted_default_zero,1.0,12129.634525205931,280.38165662660606,522962.3507325225,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_7e900f468a4edca4d288,PE_7ab5d22c48132f848099,7426.17,Transducer,Weir,14.0,False,2011-07-01,3,2011-07-01,2011,1,2,CT,OUT,False,AC,Siphon,"OG Sample IDS: CT2-T1, CT2-T2, CT2-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",0.01,,52493.88,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0.75,0,0.01,0.75,-0.2704658744587053,1.260271787488646,-1.1837220442008272,-1.1419802245933706,-1.3151477727398646,-1.5005142995239609,,1,182,58,137,Siphon,2011-07-01,8.912900176864722,,0,,,,,,unlisted_default_zero,1.0,10116.55151332935,233.68627299834577,436176.4010770312,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_5a456c5930de8120af54,PE_35e13c2714d6ea95f5d3,28720.58,Transducer,Weir,14.0,False,2011-07-18,6,2011-07-18,2011,2,1,CT,OUT,False,AC,Siphon,"OG Sample IDS: CT1 I2 T1, CT1 I2 T2, CT1 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  CT1 I2 T2 value used in this sheet is the average between the sample and its dupe",0.0,,105994.38,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0.75,1,,0.75,-0.3885840286996418,1.260271787488646,-1.1837220442008272,-0.1812092338555639,-0.8192234335968713,0.0477399459924095,,1,199,75,120,Siphon,2011-07-18,10.265404035576527,,0,,,,,,unlisted_default_zero,1.0,24912.780998115682,576.8989512474199,1074056.1206822065,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_f1f2f42f24158a0551c6,PE_9e155a06de6d2a36ed95,13281.57,Transducer,Weir,14.0,False,2011-07-19,9,2011-07-19,2011,2,2,CT,OUT,False,AC,Siphon,"OG Sample IDS: CT2 I2 T1, CT2 I2 T2, CT2 I2 T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",0.0,,129724.88,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0.75,1,,0.75,-0.3885840286996418,1.260271787488646,-1.1837220442008272,-0.8777935925539692,-0.8192234335968713,0.7344783385910998,,1,200,76,119,Siphon,2011-07-19,9.494207928403439,,0,,,,,,unlisted_default_zero,1.0,17130.31833066819,396.37729482039003,738546.6512424767,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_51fed297660faf977c91,PE_c33b54f99c0ede44173e,14140.76,Transducer,Weir,14.0,False,2011-07-28,12,2011-07-28,2011,3,1,CT,OUT,,AC,Siphon,,,,101295.36,False,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0.75,0,,0.75,,1.260271787488646,-1.1837220442008272,-0.8390282627076848,-0.3232990944538781,-0.0882452815244611,,1,209,85,110,Siphon,2011-07-28,9.556887401294683,,0,,,,,,unlisted_default_zero,1.0,22167.400563640855,513.2172293129537,955700.1230577464,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_a6727d56bf06d1ef6e2d,PE_d16ac2ea89bbe98196a0,30783.41,Transducer,Weir,14.0,False,2011-07-29,15,2011-07-29,2011,3,2,CT,OUT,,AC,Siphon,,,,101612.04,False,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0.75,0,,0.75,,1.260271787488646,-1.1837220442008272,-0.0881375205362623,-0.3232990944538781,-0.079080859613075,,1,210,86,109,Siphon,2011-07-29,10.33476367198381,,0,,,,,,unlisted_default_zero,1.0,22027.415455680777,509.9701410012075,949665.2300800262,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_c5cbf8ec270f84add3e1,PE_9b06b2640ba03d9fa7c4,17607.82,Transducer,Weir,14.0,False,2011-08-09,18,2011-08-09,2011,4,1,CT,OUT,False,AC,Siphon,"OG Sample IDs: CT1 T1 I4, CT1 T2 I4, CT1 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",0.005,,118514.59,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.03242,0.0,0.75,0,0.005,0.75,-0.3295249515791735,1.260271787488646,-1.1837220442008272,-0.6825998539775335,0.1726252446891151,0.410063069837168,,1,221,97,98,Siphon,2011-08-09,9.776155191862987,,0,,,,,,unlisted_default_zero,1.0,26144.451898730193,605.4687344449571,1127154.6407840764,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_4bb3417fbda1fe458aa6,PE_57effa7ea94a4868513b,4102.0,Ruler,Weir,14.0,False,2011-08-10,21,2011-08-10,2011,4,2,CT,OUT,False,AC,Siphon,"OG Sample IDs: CT2 T1 I4, CT2 T2 I4, CT2 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",0.005,,115634.34,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0.75,0,0.005,0.75,-0.3295249515791735,1.260271787488646,-1.1837220442008272,-1.291961656541046,0.1726252446891151,0.3267113387197294,,1,222,98,97,Siphon,2011-08-10,8.319473692442186,,0,,,,,,unlisted_default_zero,1.0,8388.662771533522,193.60624292055243,361685.451388873,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_7c0af5255edf2ffde077,PE_478d3c0884b4f50a8523,23467.0,Transducer,Weir,14.0,False,2011-08-19,27,2011-08-19,2011,5,2,CT,OUT,,AC,Siphon,,,,116630.57,False,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0.75,0,,0.75,,1.260271787488646,-1.1837220442008272,-0.4182426741584569,0.6685495838321084,0.3555412996922585,,1,231,107,88,Siphon,2011-08-19,10.06339307004575,,0,,,,,,unlisted_default_zero,1.0,21416.835102156412,495.8071463926936,923342.522318362,3.763777354536068,reconstruction,volume_observation_or_prediction_event
VO_257b327d5071d69bbb80,PE_3da987b4bbd059aa3b87,16597.23,Transducer,Weir,14.0,False,2011-08-29,33,2011-08-29,2011,6,2,CT,OUT,,AC,Siphon,,,,102616.02,False,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,2011,True,,2011-05-04,PlantDate proxy,186.3225,True,,0.0,2011.0,,0.0418833333333333,0.0,0.75,0,,0.75,,1.260271787488646,-1.1837220442008272,-0.7281961187028638,1.1644739229751015,-0.0500266209159872,,1,241,117,78,Siphon,2011-08-29,9.717051342153601,,0,,,,,,unlisted_default_zero,1.0,17341.6647587899,401.279677127221,747657.9995389091,3.763777354536068,reconstruction,volume_observation_or_prediction_event
